id,name,rating,address,city,latitude,longitude
62,asha-tea-house-san-francisco,4.0,17 Kearny St,      San Francisco,37.79,122.40
63,super-cue-cafe-san-francisco,4.0,1139 Taraval St,      San Francisco,37.74,122.48
64,boba-guys-san-francisco-15,4.0,1002 16th St,      San Francisco,37.77,122.40
66,steep-san-francisco-2,4.0,240 Ritch St,      San Francisco,37.78,122.40
67,mr-t-cafe-san-francisco,4.0,4689 Mission St,      San Francisco,37.72,122.44
69,tj-cups-san-francisco-5,4.0,2437 Noriega St,      San Francisco,37.75,122.49
72,steep-creamery-and-tea-san-francisco,4.0,270 Brannan St,      San Francisco,37.78,122.39
86,homeplate-boba-san-francisco,4.0,131-155 King St,      San Francisco,37.78,122.39
97,fifty-fifty-coffee-and-tea-san-francisco,4.0,3157 Geary Blvd,      San Francisco,37.78,122.45
99,bambu-san-francisco-3,4.0,6050 Geary Blvd,      San Francisco,37.78,122.48
100,i-tea-oakland,4.0,388 9th St,      Oakland,37.80,122.27
102,t-and-bowl-oakland,4.0,901 Franklin St,      Oakland,37.80,122.27
103,u-cha-berkeley,4.0,2199 Bancroft Way,      Berkeley,37.87,122.27
104,the-sweet-booth-oakland,4.0,388 9th St,      Oakland,37.80,122.27
105,asha-tea-house-berkeley,4.0,2086 University Ave,      Berkeley,37.87,122.27
106,i-tea-alameda,4.0,1626 Park St,      Alameda,37.77,122.24
108,wing-man-oakland-3,4.0,5295 College Ave,      Oakland,37.84,122.25
109,sharetea-berkeley,4.0,2440 Bancroft Way,      Berkeley,37.87,122.26
110,happy-lemon-berkeley-berkeley,4.0,2106 Shattuck Ave,      Berkeley,37.87,122.27
111,milk-tea-lab-pleasant-hill,4.0,1972 Contra Costa Blvd,      Pleasant Hill,37.95,122.06
112,boba-ninja-berkeley,4.0,2519B Durant Ave,      Berkeley,37.87,122.26
116,i-tea-walnut-creek-3,4.0,1245 N Broadway,      Walnut Creek,37.90,122.06
118,gelato-firenze-and-qtea-bar-oakland,4.0,478 Lake Park Ave,      Oakland,37.81,122.25
119,tea-delight-alameda-2,4.0,650 Central Ave,      Alameda,37.77,122.28
121,i-tea-san-leandro-2,4.0,177 Pelton Ctr Way,      San Leandro,37.72,122.15
123,tea-press-berkeley-2,4.0,2552 Bancroft Way,      Berkeley,37.87,122.26
124,taiwan-bento-oakland-4,4.0,412 22nd St,      Oakland,37.81,122.27
135,bubble-tea-share-time-berkeley,4.0,1938 Shattuck Ave,      Berkeley,37.87,122.27
137,pekoe-san-jose,4.0,3276 S White Rd,      San Jose,37.31,121.79
138,tea-lyfe-drinks-san-jose-3,4.0,989 Story Rd,      San Jose,37.33,121.86
139,teahee-san-jose,4.0,979 Story Rd,      San Jose,37.33,121.86
